month,precipitation_mm,hist_mean_mm,stdev_hist_mm
2001-10,56.69,81.0067,37.7022
2001-11,118.37,78.221,24.6453
2001-12,84,91.061,37.3262
2002-01,78.71,84.9467,42.0869
2002-02,175.66,71.848,38.2315
2002-03,66.13,78.902,36.3833
2002-04,53.79,61.535,32.9998
2002-05,63.19,75.0977,34.8745
2002-06,50.43,81.7337,34.5557
2002-07,104.46,81.576,36.3886
2002-08,116.26,84.272,47.8555
2002-09,33.97,76.36,43.2947
2002-10,103.35,81.0067,37.7022
2002-11,123.37,78.221,24.6453
2002-12,94.1,91.061,37.3262
2003-01,108.42,84.9467,42.0869
2003-02,28.08,71.848,38.2315
2003-03,41.99,78.902,36.3833
2003-04,64.72,61.535,32.9998
2003-05,93.87,75.0977,34.8745
2003-06,60.03,81.7337,34.5557
2003-07,73.79,81.576,36.3886
2003-08,55.89,84.272,47.8555
2003-09,22.2,76.36,43.2947
2003-10,71.05,81.0067,37.7022
2003-11,40.99,78.221,24.6453
2003-12,76.85,91.061,37.3262
2004-01,115.71,84.9467,42.0869
2004-02,58.31,71.848,38.2315
2004-03,40.9,78.902,36.3833
2004-04,80.43,61.535,32.9998
2004-05,56.07,75.0977,34.8745
2004-06,69.97,81.7337,34.5557
2004-07,108.26,81.576,36.3886
2004-08,169.13,84.272,47.8555
2004-09,75.7,76.36,43.2947
2004-10,55.1,81.0067,37.7022
2004-11,75.22,78.221,24.6453
2004-12,59.83,91.061,37.3262
2005-01,71.2,84.9467,42.0869
2005-02,90.22,71.848,38.2315
2005-03,46.99,78.902,36.3833
2005-04,56.23,61.535,32.9998
2005-05,64.01,75.0977,34.8745
2005-06,46.74,81.7337,34.5557
2005-07,101.11,81.576,36.3886
2005-08,72.25,84.272,47.8555
2005-09,72.97,76.36,43.2947
2005-10,52.25,81.0067,37.7022
2005-11,56.22,78.221,24.6453
2005-12,61.3,91.061,37.3262
2006-01,24.53,84.9467,42.0869
2006-02,73.19,71.848,38.2315
2006-03,98.33,78.902,36.3833
2006-04,50.24,61.535,32.9998
2006-05,150.2,75.0977,34.8745
2006-06,41.05,81.7337,34.5557
2006-07,44.81,81.576,36.3886
2006-08,220.43,84.272,47.8555
2006-09,13.32,76.36,43.2947
2006-10,64.98,81.0067,37.7022
2006-11,76.31,78.221,24.6453
2006-12,80.3,91.061,37.3262
2007-01,112.74,84.9467,42.0869
2007-02,93.17,71.848,38.2315
2007-03,67.04,78.902,36.3833
2007-04,0.04,61.535,32.9998
2007-05,121.31,75.0977,34.8745
2007-06,108.55,81.7337,34.5557
2007-07,113.09,81.576,36.3886
2007-08,120.81,84.272,47.8555
2007-09,75.17,76.36,43.2947
2007-10,53.54,81.0067,37.7022
2007-11,87.4,78.221,24.6453
2007-12,87.49,91.061,37.3262
2008-01,78.1,84.9467,42.0869
2008-02,59.41,71.848,38.2315
2008-03,137.52,78.902,36.3833
2008-04,63.21,61.535,32.9998
2008-05,72.61,75.0977,34.8745
2008-06,88.42,81.7337,34.5557
2008-07,107.22,81.576,36.3886
2008-08,104.22,84.272,47.8555
2008-09,63.09,76.36,43.2947
2008-10,75.73,81.0067,37.7022
2008-11,60.27,78.221,24.6453
2008-12,61.6,91.061,37.3262
2009-01,48.2,84.9467,42.0869
2009-02,77.31,71.848,38.2315
2009-03,77.52,78.902,36.3833
2009-04,55.27,61.535,32.9998
2009-05,60.87,75.0977,34.8745
2009-06,67.51,81.7337,34.5557
2009-07,89.35,81.576,36.3886
2009-08,40.35,84.272,47.8555
2009-09,31.82,76.36,43.2947
2009-10,74.27,81.0067,37.7022
2009-11,112.73,78.221,24.6453
2009-12,113.19,91.061,37.3262
2010-01,50.34,84.9467,42.0869
2010-02,78.06,71.848,38.2315
2010-03,54.15,78.902,36.3833
2010-04,19.49,61.535,32.9998
2010-05,67.22,75.0977,34.8745
2010-06,18.82,81.7337,34.5557
2010-07,58.13,81.576,36.3886
2010-08,162.45,84.272,47.8555
2010-09,69.31,76.36,43.2947
2010-10,49.35,81.0067,37.7022
2010-11,99.86,78.221,24.6453
2010-12,83.06,91.061,37.3262
2011-01,98.45,84.9467,42.0869
2011-02,44.64,71.848,38.2315
2011-03,14.13,78.902,36.3833
2011-04,22.95,61.535,32.9998
2011-05,25.81,75.0977,34.8745
2011-06,79.84,81.7337,34.5557
2011-07,57.35,81.576,36.3886
2011-08,109.19,84.272,47.8555
2011-09,39.31,76.36,43.2947
2011-10,45.41,81.0067,37.7022
2011-11,4.72,78.221,24.6453
2011-12,164.95,91.061,37.3262
2012-01,94.81,84.9467,42.0869
2012-02,37.31,71.848,38.2315
2012-03,16.1,78.902,36.3833
2012-04,66.11,61.535,32.9998
2012-05,58.07,75.0977,34.8745
2012-06,99.09,81.7337,34.5557
2012-07,114.91,81.576,36.3886
2012-08,42.74,84.272,47.8555
2012-09,40.81,76.36,43.2947
2012-10,114.1,81.0067,37.7022
2012-11,45.73,78.221,24.6453
2012-12,146.93,91.061,37.3262
2013-01,52.24,84.9467,42.0869
2013-02,52.15,71.848,38.2315
2013-03,38.25,78.902,36.3833
2013-04,24.45,61.535,32.9998
2013-05,99.11,75.0977,34.8745
2013-06,74.06,81.7337,34.5557
2013-07,45.91,81.576,36.3886
2013-08,31.7,84.272,47.8555
2013-09,80.95,76.36,43.2947
2013-10,80.23,81.0067,37.7022
2013-11,98.78,78.221,24.6453
2013-12,68.81,91.061,37.3262
2014-01,69.65,84.9467,42.0869
2014-02,55.01,71.848,38.2315
2014-03,11.95,78.902,36.3833
2014-04,17.43,61.535,32.9998
2014-05,58.76,75.0977,34.8745
2014-06,80.16,81.7337,34.5557
2014-07,139.99,81.576,36.3886
2014-08,155.53,84.272,47.8555
2014-09,38.34,76.36,43.2947
2014-10,81.71,81.0067,37.7022
2014-11,40.87,78.221,24.6453
2014-12,104,91.061,37.3262
2015-01,99.2,84.9467,42.0869
2015-02,55.38,71.848,38.2315
2015-03,57.88,78.902,36.3833
2015-04,39.28,61.535,32.9998
2015-05,38.84,75.0977,34.8745
2015-06,46.78,81.7337,34.5557
2015-07,64.18,81.576,36.3886
2015-08,100.83,84.272,47.8555
2015-09,92.96,76.36,43.2947
2015-10,33.96,81.0067,37.7022
2015-11,104.36,78.221,24.6453
2015-12,66.29,91.061,37.3262
2016-01,114.17,84.9467,42.0869
2016-02,111.81,71.848,38.2315
2016-03,64.75,78.902,36.3833
2016-04,79.89,61.535,32.9998
2016-05,90.94,75.0977,34.8745
2016-06,154.54,81.7337,34.5557
2016-07,56.15,81.576,36.3886
2016-08,51.24,84.272,47.8555
2016-09,16.9,76.36,43.2947
2016-10,45.57,81.0067,37.7022
2016-11,72.13,78.221,24.6453
2016-12,20.34,91.061,37.3262
2017-01,54.09,84.9467,42.0869
2017-02,57.34,71.848,38.2315
2017-03,64.33,78.902,36.3833
2017-04,22.33,61.535,32.9998
2017-05,46.04,75.0977,34.8745
2017-06,39.07,81.7337,34.5557
2017-07,89.34,81.576,36.3886
2017-08,83.3,84.272,47.8555
2017-09,81.83,76.36,43.2947
2017-10,43.57,81.0067,37.7022
2017-11,73.89,78.221,24.6453
2017-12,99.37,91.061,37.3262
2018-01,101.25,84.9467,42.0869
2018-02,26.96,71.848,38.2315
2018-03,65.58,78.902,36.3833
2018-04,52.86,61.535,32.9998
2018-05,54.54,75.0977,34.8745
2018-06,44.25,81.7337,34.5557
2018-07,11.35,81.576,36.3886
2018-08,56.52,84.272,47.8555
2018-09,57.32,76.36,43.2947
